,ListingCreationDate,Term,LoanStatus,ClosedDate,BorrowerAPR,BorrowerRate,BorrowerState,Occupation,EmploymentStatus,CreditScoreRangeUpper,Credit,Rate_Range,Count
2804,2012-03-04 07:27:00.737000000,60,Current,,0.15784,0.1396,WI,Professional,Employed,799.0,Excellent,10-14.99%,1
2887,2013-09-17 23:07:53.230000000,36,Current,,0.12274,0.0949,WI,Truck Driver,Employed,759.0,Excellent,5-9.99%,1
2958,2013-11-02 23:21:59.483000000,60,Current,,0.20808,0.184,WI,Skilled Labor,Employed,679.0,Fair,15-19.99%,1
2984,2014-02-08 22:58:19.297000000,36,Current,,0.12117,0.093,WI,Sales - Commission,Employed,699.0,Fair,5-9.99%,1
3019,2006-11-29 17:27:49.380000000,36,Defaulted,2007-05-21 00:00:00,0.18318,0.165,WI,Other,Not available,559.0,Poor,15-19.99%,1
3082,2013-12-07 09:11:46.197000000,36,Current,,0.30848,0.2694,WI,Professional,Employed,699.0,Fair,25-29.99%,1
3118,2013-12-30 22:14:42.283000000,36,Current,,0.13799,0.1099,WI,Administrative Assistant,Employed,679.0,Fair,10-14.99%,1
3134,2011-08-11 19:04:22.237000000,36,Completed,2012-09-21 00:00:00,0.35643,0.3199,WI,Doctor,Self-employed,679.0,Fair,30-34.99%,1
3195,2010-05-21 15:07:11.903000000,36,Completed,2013-03-25 00:00:00,0.17018,0.1485,WI,Administrative Assistant,Full-time,739.0,Good,10-14.99%,1
3249,2011-04-05 07:35:34.173000000,36,Chargedoff,2013-10-19 00:00:00,0.2951,0.2599,WI,Other,Employed,659.0,Fair,25-29.99%,1
3282,2013-06-18 05:31:55.930000000,60,Current,,0.23872,0.2139,WI,Administrative Assistant,Employed,699.0,Fair,20-24.99%,1
3304,2013-11-06 14:01:29.047000000,36,Current,,0.19501,0.1585,WI,Other,Employed,699.0,Fair,15-19.99%,1
3390,2013-04-28 17:08:04.447000000,60,Current,,0.21566,0.1914,WI,Tradesman - Electrician,Employed,739.0,Good,15-19.99%,1
3565,2011-04-10 14:45:11.837000000,36,Chargedoff,2013-04-20 00:00:00,0.25424,0.2199,WI,Sales - Commission,Employed,619.0,Poor,20-24.99%,1
3611,2013-12-01 13:36:31.907000000,60,Current,,0.13636,0.1139,WI,Other,Employed,779.0,Excellent,10-14.99%,1
3613,2012-01-07 14:45:47.450000000,60,Current,,0.14766,0.1296,WI,Computer Programmer,Full-time,739.0,Good,10-14.99%,1
3631,2011-09-28 12:43:43.690000000,36,Completed,2013-02-11 00:00:00,0.30532,0.2699,WI,Administrative Assistant,Employed,679.0,Fair,25-29.99%,1
3687,2013-06-14 08:39:24.500000000,60,Current,,0.22693,0.2024,WI,Other,Self-employed,719.0,Good,20-24.99%,1
3763,2011-03-01 15:06:31.560000000,36,FinalPaymentInProgress,,0.25424,0.2199,WI,Construction,Self-employed,759.0,Excellent,20-24.99%,1
3890,2012-12-07 18:12:04.473000000,36,Past Due (61-90 days),,0.32538,0.2859,WI,Analyst,Employed,659.0,Fair,25-29.99%,1
3933,2007-09-20 09:04:16.057000000,36,Completed,2008-08-01 00:00:00,0.13192,0.1249,WI,Computer Programmer,Full-time,739.0,Good,10-14.99%,1
3955,2013-01-05 07:48:39.817000000,36,Current,,0.30285,0.2639,WI,Civil Service,Full-time,619.0,Poor,25-29.99%,1
3998,2013-12-26 09:01:21.017000000,36,Current,,0.26855,0.2304,WI,Other,Self-employed,699.0,Fair,20-24.99%,1
4001,2013-03-15 17:41:58.743000000,36,Current,,0.17192,0.1359,WI,Sales - Commission,Employed,779.0,Excellent,10-14.99%,1
4065,2010-11-12 13:51:14.100000000,36,Defaulted,2012-10-26 00:00:00,0.35858,0.322,WI,Food Service,Employed,659.0,Fair,30-34.99%,1
4097,2010-02-07 19:43:29.240000000,36,Completed,2013-02-26 00:00:00,0.28574,0.2625,WI,Other,Full-time,679.0,Fair,25-29.99%,1
4099,2013-09-16 20:05:51.863000000,36,Current,,0.19144,0.155,WI,Accountant/CPA,Self-employed,679.0,Fair,15-19.99%,1
4213,2013-05-10 08:02:05.660000000,60,Completed,2013-07-08 00:00:00,0.24589,0.2209,WI,Skilled Labor,Employed,719.0,Good,20-24.99%,1
4253,2012-07-10 18:35:50.433000000,60,Current,,0.28704,0.261,WI,Laborer,Employed,699.0,Fair,25-29.99%,1
4294,2008-01-09 14:22:28.120000000,36,Completed,2010-02-11 00:00:00,0.16978,0.1481,WI,Other,Full-time,579.0,Poor,10-14.99%,1
4321,2011-11-15 09:30:10.870000000,36,Completed,2014-01-31 00:00:00,0.19088,0.1619,WI,Retail Management,Full-time,759.0,Excellent,15-19.99%,1
4625,2012-10-26 17:23:20.160000000,60,Past Due (16-30 days),,0.26528,0.2398,WI,Other,Other,819.0,Excellent,20-24.99%,1
4728,2013-06-23 14:28:21.067000000,36,Current,,0.35356,0.3134,WI,Bus Driver,Full-time,699.0,Fair,30-34.99%,1
4747,2013-07-27 06:06:47,60,Current,,0.12716,0.1049,WI,Other,Employed,799.0,Excellent,10-14.99%,1
4806,2012-04-05 09:12:22.860000000,60,Current,,0.27246,0.2468,WI,Other,Other,699.0,Fair,20-24.99%,1
4862,2013-10-08 14:38:24.053000000,60,Current,,0.22908,0.2045,WI,Professional,Employed,679.0,Fair,20-24.99%,1
4867,2013-12-12 18:29:23.640000000,60,Current,,0.20808,0.184,WI,Postal Service,Employed,679.0,Fair,15-19.99%,1
4877,2014-02-05 04:37:26.570000000,36,Current,,0.13799,0.1099,WI,Skilled Labor,Employed,679.0,Fair,10-14.99%,1
4880,2013-02-27 14:19:05.207000000,60,Current,,0.24282,0.2179,WI,Clerical,Employed,759.0,Excellent,20-24.99%,1
4993,2012-10-17 15:00:57.330000000,36,Current,,0.35797,0.3177,WI,Other,Employed,719.0,Good,30-34.99%,1
5035,2013-12-10 03:29:05.893000000,60,Current,,0.12113,0.099,WI,Laborer,Employed,799.0,Excellent,5-9.99%,1
5068,2013-11-04 14:07:14.607000000,60,Current,,0.28078,0.2549,WI,Professor,Employed,659.0,Fair,25-29.99%,1
5113,2013-07-08 14:40:45.790000000,36,Current,,0.20053,0.1639,WI,Laborer,Employed,799.0,Excellent,15-19.99%,1
5315,2013-04-16 15:29:09.023000000,60,Completed,2013-06-25 00:00:00,0.16499,0.1419,WI,Tradesman - Mechanic,Employed,759.0,Excellent,10-14.99%,1
5390,2013-12-02 10:18:20.513000000,60,Current,,0.17327,0.15,WI,Clerical,Employed,719.0,Good,15-19.99%,1
5451,2013-11-20 11:54:12.963000000,36,Current,,0.2129,0.176,WI,Analyst,Employed,679.0,Fair,15-19.99%,1
5495,2012-03-09 12:33:40.027000000,36,Completed,2013-02-05 00:00:00,0.17359,0.1449,WI,Retail Management,Employed,699.0,Fair,10-14.99%,1
5599,2012-07-02 13:13:58.563000000,36,Current,,0.33553,0.2958,WI,Administrative Assistant,Employed,679.0,Fair,25-29.99%,1
5601,2013-09-17 15:30:22.683000000,60,Current,,0.26333,0.2379,WI,Skilled Labor,Employed,719.0,Good,20-24.99%,1
5609,2013-12-16 10:07:16.780000000,60,Current,,0.20808,0.184,WI,,Other,679.0,Fair,15-19.99%,1
5617,2013-05-16 06:45:25.750000000,60,Current,,0.12205,0.0999,WI,Laborer,Employed,779.0,Excellent,5-9.99%,1
5645,2013-03-11 11:53:23.760000000,12,Completed,2013-05-16 00:00:00,0.22026,0.1426,WI,Engineer - Mechanical,Employed,699.0,Fair,10-14.99%,1
5669,2007-06-18 07:42:38.467000000,36,Completed,2008-12-10 00:00:00,0.13705,0.13,WI,Other,Full-time,679.0,Fair,10-14.99%,1
5671,2007-10-01 12:38:49.147000000,36,Completed,2010-10-05 00:00:00,0.13152,0.1245,WI,Other,Full-time,659.0,Fair,10-14.99%,1
5676,2012-10-20 22:20:44.440000000,60,Defaulted,2013-11-24 00:00:00,0.12992,0.1076,WI,Computer Programmer,Employed,799.0,Excellent,10-14.99%,1
5836,2013-11-28 13:38:35.027000000,60,Current,,0.22549,0.201,WI,Other,Employed,699.0,Fair,20-24.99%,1
5927,2013-12-24 09:20:55.433000000,60,Current,,0.12113,0.099,WI,Analyst,Employed,739.0,Good,5-9.99%,1
5957,2013-01-30 12:46:56.743000000,60,Current,,0.25471,0.2295,WI,Sales - Commission,Employed,759.0,Excellent,20-24.99%,1
5982,2012-05-04 09:41:03.860000000,36,Completed,2013-07-16 00:00:00,0.15538,0.127,WI,Scientist,Employed,759.0,Excellent,10-14.99%,1
6080,2013-10-17 14:06:19.857000000,36,Current,,0.35356,0.3134,WI,Laborer,Employed,679.0,Fair,30-34.99%,1
6093,2013-03-10 15:05:11.303000000,60,Current,,0.25102,0.2259,WI,Truck Driver,Employed,739.0,Good,20-24.99%,1
6226,2007-11-26 08:57:13.380000000,36,Completed,2009-10-29 00:00:00,0.13033,0.12,WI,Retail Management,Full-time,739.0,Good,10-14.99%,1
6304,2014-01-28 16:16:21.257000000,36,Current,,0.34588,0.3059,WI,Construction,Employed,679.0,Fair,30-34.99%,1
6307,2012-06-23 04:27:47.620000000,36,Chargedoff,2013-08-28 00:00:00,0.21372,0.1768,WI,Executive,Employed,699.0,Fair,15-19.99%,1
6421,2012-03-29 11:45:18.183000000,60,Past Due (1-15 days),,0.27246,0.2468,WI,Professional,Employed,819.0,Excellent,20-24.99%,1
6424,2006-08-23 08:08:29.933000000,36,Chargedoff,2009-09-06 00:00:00,0.17722,0.17,WI,Sales - Retail,Not available,639.0,Poor,15-19.99%,1
6467,2008-10-05 22:20:25.190000000,36,Completed,2010-09-23 00:00:00,0.36158,0.3,WI,Retail Management,Full-time,579.0,Poor,30-34.99%,1
6575,2008-04-30 05:41:34.170000000,36,Chargedoff,2010-01-13 00:00:00,0.18454,0.17,WI,Social Worker,Full-time,699.0,Fair,15-19.99%,1
6588,2011-02-23 20:46:43.023000000,36,Completed,2013-08-30 00:00:00,0.22872,0.1949,WI,Other,Other,659.0,Fair,15-19.99%,1
6595,2012-10-14 06:24:34.103000000,60,Current,,0.16519,0.1421,WI,Engineer - Electrical,Employed,759.0,Excellent,10-14.99%,1
6613,2013-11-20 05:09:26.887000000,60,Current,,0.2004,0.1765,WI,Skilled Labor,Employed,699.0,Fair,15-19.99%,1
6617,2013-04-10 20:22:01.710000000,36,Current,,0.21025,0.1734,WI,Other,Employed,719.0,Good,15-19.99%,1
6758,2011-01-06 13:18:53.897000000,36,Completed,2014-01-13 00:00:00,0.33097,0.295,WI,Other,Employed,759.0,Excellent,25-29.99%,1
6760,2014-02-16 12:33:00.867000000,36,Current,,0.19029,0.1535,WI,Food Service,Employed,699.0,Fair,15-19.99%,1
6770,2007-04-24 19:49:57.740000000,36,Chargedoff,2008-03-08 00:00:00,0.18403,0.1695,WI,Military Officer,Full-time,559.0,Poor,15-19.99%,1
6782,2012-05-02 10:44:53.667000000,60,Current,,0.28704,0.261,WI,Administrative Assistant,Employed,659.0,Fair,25-29.99%,1
6845,2013-08-07 19:40:19.053000000,60,Current,,0.13942,0.1169,WI,Analyst,Employed,799.0,Excellent,10-14.99%,1
6856,2013-10-11 12:31:15.627000000,36,Current,,0.10038,0.0869,WI,Executive,Employed,799.0,Excellent,5-9.99%,1
6908,2010-02-04 21:25:32.173000000,36,Completed,2013-02-23 00:00:00,0.11195,0.091,WI,Clerical,Full-time,759.0,Excellent,5-9.99%,1
6916,2007-10-08 13:16:13.520000000,36,Completed,2010-07-29 00:00:00,0.12975,0.12,WI,Clerical,Full-time,659.0,Fair,10-14.99%,1
6926,2012-10-30 16:17:04.177000000,60,Current,,0.14494,0.1223,WI,Executive,Employed,779.0,Excellent,10-14.99%,1
6948,2012-08-10 09:00:22.197000000,36,Completed,2013-07-30 00:00:00,0.15324,0.1249,WI,Sales - Retail,Employed,699.0,Fair,10-14.99%,1
6970,2010-06-27 07:23:35.527000000,36,Completed,2013-03-07 00:00:00,0.12309,0.102,WI,Other,Full-time,799.0,Excellent,10-14.99%,1
7177,2013-12-24 13:57:57.407000000,60,Current,,0.15844,0.1355,WI,Construction,Employed,719.0,Good,10-14.99%,1
7220,2011-12-01 12:23:10.363000000,36,Chargedoff,2013-04-07 00:00:00,0.29486,0.2561,WI,Laborer,Employed,719.0,Good,25-29.99%,1
7337,2014-01-27 09:44:37.153000000,36,Current,,0.15223,0.1239,WI,Executive,Employed,719.0,Good,10-14.99%,1
7399,2012-09-06 18:47:58.997000000,36,Completed,2013-04-12 00:00:00,0.23939,0.2019,WI,Sales - Retail,Employed,719.0,Good,20-24.99%,1
7405,2014-01-10 11:25:20.717000000,36,Current,,0.22108,0.184,WI,,Other,699.0,Fair,15-19.99%,1
7439,2013-03-15 17:53:45.080000000,36,Current,,0.22354,0.1864,WI,Laborer,Employed,719.0,Good,15-19.99%,1
7460,2013-07-20 14:25:36.203000000,36,Current,,0.14348,0.1153,WI,Engineer - Electrical,Employed,759.0,Excellent,10-14.99%,1
7491,2013-06-15 16:16:38.520000000,36,Current,,0.22712,0.1899,WI,Other,Employed,679.0,Fair,15-19.99%,1
7495,2013-07-03 11:29:10.393000000,36,Completed,2014-02-12 00:00:00,0.13697,0.1089,WI,Other,Employed,759.0,Excellent,10-14.99%,1
7514,2011-02-21 06:40:06.760000000,36,Completed,2011-11-03 00:00:00,0.35643,0.3199,WI,Other,Full-time,719.0,Good,30-34.99%,1
7607,2012-11-07 14:32:43.677000000,36,Current,,0.35797,0.3177,WI,Medical Technician,Employed,699.0,Fair,30-34.99%,1
7703,2010-12-15 10:41:09.370000000,36,Completed,2012-09-13 00:00:00,0.38723,0.35,WI,Skilled Labor,Self-employed,699.0,Fair,35-39.99%,1
7753,2011-03-08 06:43:24.970000000,36,Completed,2011-09-23 00:00:00,0.2951,0.2599,WI,Computer Programmer,Employed,659.0,Fair,25-29.99%,1
7832,2014-02-06 12:52:06.713000000,36,Current,,0.0903,0.0769,WI,Other,Employed,759.0,Excellent,5-9.99%,1
7920,2013-02-21 14:55:29.867000000,36,Current,,0.13138,0.1034,WI,Skilled Labor,Employed,799.0,Excellent,10-14.99%,1
7937,2007-07-27 12:01:07.693000000,36,Completed,2008-06-25 00:00:00,0.16988,0.1627,WI,Professional,Full-time,699.0,Fair,15-19.99%,1
7965,2012-07-07 09:42:15.697000000,60,Completed,2013-10-12 00:00:00,0.16151,0.1385,WI,Other,Other,719.0,Good,10-14.99%,1
7974,2012-07-07 07:51:30.337000000,36,Current,,0.19921,0.1626,WI,Executive,Employed,779.0,Excellent,15-19.99%,1
8011,2012-05-01 12:42:05.733000000,60,Chargedoff,2013-09-14 00:00:00,0.23318,0.2085,WI,Sales - Commission,Employed,759.0,Excellent,20-24.99%,1
8030,2012-04-01 14:39:27.467000000,60,Current,,0.31375,0.287,WI,Other,Employed,739.0,Good,25-29.99%,1
8133,2013-05-22 15:02:52.897000000,36,Past Due (1-15 days),,0.35356,0.3134,WI,Teacher,Employed,759.0,Excellent,30-34.99%,1
8158,2013-07-13 08:30:56.580000000,36,Current,,0.2878,0.2492,WI,Skilled Labor,Employed,719.0,Good,20-24.99%,1
8265,2008-02-25 07:44:13.687000000,36,Completed,2011-02-17 00:00:00,0.12562,0.1045,WI,Other,Full-time,659.0,Fair,10-14.99%,1
8325,2012-09-28 14:47:23.180000000,36,Current,,0.09736,0.0839,WI,Computer Programmer,Employed,759.0,Excellent,5-9.99%,1
8350,2014-02-11 23:47:46.480000000,36,Current,,0.23477,0.197,WI,Other,Employed,679.0,Fair,15-19.99%,1
8430,2012-05-16 08:09:23.373000000,60,Current,,0.27462,0.2489,WI,Skilled Labor,Employed,699.0,Fair,20-24.99%,1
8514,2012-07-25 19:48:25.163000000,60,Current,,0.15936,0.1364,WI,Construction,Full-time,719.0,Good,10-14.99%,1
8533,2013-11-07 14:26:31.317000000,60,Current,,0.20593,0.1819,WI,Skilled Labor,Employed,739.0,Good,15-19.99%,1
8555,2013-03-26 19:31:20.413000000,60,Current,,0.28386,0.2579,WI,Teacher,Employed,699.0,Fair,25-29.99%,1
8589,2013-09-14 16:58:33.203000000,36,Current,,0.2533,0.2155,WI,Sales - Retail,Employed,659.0,Fair,20-24.99%,1
8616,2013-12-11 18:59:54.300000000,60,Current,,0.16304,0.14,WI,Executive,Employed,759.0,Excellent,10-14.99%,1
8670,2008-09-07 08:51:06.693000000,36,Completed,2011-09-16 00:00:00,0.10285,0.089,WI,Professional,Full-time,759.0,Excellent,5-9.99%,1
8688,2013-10-16 13:08:43.977000000,36,Current,,0.2354,0.198,WI,Professor,Employed,719.0,Good,15-19.99%,1
8770,2012-06-28 11:53:27.240000000,60,Current,,0.27462,0.2489,WI,Nurse's Aide,Employed,759.0,Excellent,20-24.99%,1
8821,2014-03-03 10:22:23.520000000,36,Current,,0.1585,0.1224,WI,Construction,Self-employed,779.0,Excellent,10-14.99%,1
8928,2012-02-04 12:14:37.757000000,36,Chargedoff,2012-09-20 00:00:00,0.35797,0.3177,WI,Other,Self-employed,759.0,Excellent,30-34.99%,1
9012,2012-06-13 09:58:15.903000000,36,Current,,0.26681,0.2287,WI,Clerical,Part-time,679.0,Fair,20-24.99%,1
9137,2008-04-19 06:12:22.157000000,36,Chargedoff,2009-05-26 00:00:00,0.37453,0.35,WI,Clerical,Full-time,599.0,Poor,35-39.99%,1
9269,2011-06-15 11:35:38.570000000,12,Completed,2012-08-09 00:00:00,0.35843,0.2669,WI,Teacher,Employed,699.0,Fair,25-29.99%,1
9351,2014-02-13 09:07:23.017000000,60,Current,,0.20372,0.1795,WI,Computer Programmer,Employed,699.0,Fair,15-19.99%,1
9436,2012-08-26 13:26:06.597000000,36,Past Due (1-15 days),,0.35797,0.3177,WI,Other,Self-employed,739.0,Good,30-34.99%,1
9554,2011-10-21 06:48:11.640000000,36,Completed,2012-02-06 00:00:00,0.35132,0.3149,WI,Executive,Self-employed,839.0,Excellent,30-34.99%,1
9557,2013-12-17 10:31:57.330000000,60,Current,,0.18197,0.1585,WI,Skilled Labor,Employed,739.0,Good,15-19.99%,1
9603,2010-11-28 18:13:40.583000000,36,Completed,2013-03-18 00:00:00,0.31308,0.2775,WI,Analyst,Employed,679.0,Fair,25-29.99%,1
9663,2013-05-15 17:32:09.053000000,36,Current,,0.27285,0.2346,WI,Laborer,Employed,699.0,Fair,20-24.99%,1
9829,2013-11-22 12:42:40.013000000,60,Current,,0.20808,0.184,WI,Other,Employed,699.0,Fair,15-19.99%,1
9884,2012-10-31 18:33:58.027000000,36,Current,,0.09736,0.0839,WI,Accountant/CPA,Employed,759.0,Excellent,5-9.99%,1
9953,2014-01-10 11:32:36.397000000,60,Current,,0.16969,0.1465,WI,Postal Service,Employed,699.0,Fair,10-14.99%,1
10056,2011-08-05 12:53:45.643000000,36,Completed,2012-08-16 00:00:00,0.30532,0.2699,WI,Sales - Retail,Employed,759.0,Excellent,25-29.99%,1
10068,2013-12-04 09:19:15.617000000,36,Current,,0.21342,0.1765,WI,,Other,719.0,Good,15-19.99%,1
10174,2011-01-03 11:30:41.447000000,36,Completed,2011-03-15 00:00:00,0.15549,0.134,WI,Professional,Full-time,779.0,Excellent,10-14.99%,1
10206,2008-04-27 16:27:49.817000000,36,Completed,2011-05-06 00:00:00,0.29882,0.2754,WI,Civil Service,Full-time,619.0,Poor,25-29.99%,1
10355,2014-01-08 14:32:13.560000000,36,Current,,0.12691,0.099,WI,Executive,Self-employed,739.0,Good,5-9.99%,1
10564,2012-08-14 15:00:36.267000000,36,Current,,0.2706,0.2324,WI,Other,Other,719.0,Good,20-24.99%,1
10574,2012-11-21 13:42:40.930000000,36,Past Due (1-15 days),,0.24758,0.2099,WI,Engineer - Mechanical,Employed,719.0,Good,20-24.99%,1
10581,2011-10-13 09:23:14.790000000,36,Chargedoff,2013-11-30 00:00:00,0.1322,0.111,WI,Retail Management,Employed,739.0,Good,10-14.99%,1
10607,2013-04-08 15:54:54.030000000,36,Current,,0.26528,0.2272,WI,Skilled Labor,Employed,679.0,Fair,20-24.99%,1
10672,2011-08-26 07:24:54.937000000,36,Current,,0.30532,0.2699,WI,Nurse (LPN),Employed,679.0,Fair,25-29.99%,1
10743,2010-08-24 06:06:23.317000000,36,Completed,2013-07-02 00:00:00,0.18758,0.1415,WI,Administrative Assistant,Employed,759.0,Excellent,10-14.99%,1
10876,2013-04-29 09:35:33.663000000,36,Current,,0.21945,0.1824,WI,Other,Employed,719.0,Good,15-19.99%,1
10943,2006-10-15 16:30:41.600000000,36,Defaulted,2007-05-25 00:00:00,0.17219,0.165,WI,Other,Not available,659.0,Fair,15-19.99%,1
10983,2011-11-16 03:52:38.303000000,36,Chargedoff,2012-12-18 00:00:00,0.35244,0.316,WI,Executive,Self-employed,679.0,Fair,30-34.99%,1
11018,2010-09-23 10:46:40.907000000,36,Completed,2013-10-03 00:00:00,0.2967,0.2575,WI,Nurse (RN),Full-time,639.0,Poor,25-29.99%,1
11050,2014-01-16 09:29:21.613000000,36,Current,,0.15223,0.1239,WI,Construction,Self-employed,739.0,Good,10-14.99%,1
11130,2008-08-15 15:45:54.100000000,36,Completed,2008-12-30 00:00:00,0.12211,0.1081,WI,Professional,Full-time,719.0,Good,10-14.99%,1
11136,2007-06-09 15:46:45.690000000,36,Chargedoff,2010-10-02 00:00:00,0.11947,0.1125,WI,Accountant/CPA,Full-time,739.0,Good,10-14.99%,1
11137,2012-02-27 13:41:15.760000000,60,Current,,0.20705,0.183,WI,Administrative Assistant,Employed,779.0,Excellent,15-19.99%,1
11150,2010-09-11 19:17:10.413000000,36,Completed,2013-04-15 00:00:00,0.16223,0.1365,WI,Engineer - Electrical,Employed,739.0,Good,10-14.99%,1
11272,2013-05-13 12:28:45.997000000,60,Current,,0.17061,0.1474,WI,Sales - Commission,Employed,679.0,Fair,10-14.99%,1
11294,2011-12-23 15:16:46.113000000,60,Current,,0.1831,0.1644,WI,Tradesman - Electrician,Employed,759.0,Excellent,15-19.99%,1
11425,2013-11-23 20:24:28.090000000,60,Current,,0.16969,0.1465,WI,Other,Employed,679.0,Fair,10-14.99%,1
